config,question,in_doc,top_score,controls_triggered,abstained,verdict,answer
Baseline,"When was the singer of ""Funny Face"" born? ",False,0.245,,False,HALLUCINATED,"""Funny Face""는 유명한 노래로, 주로 프레드 아스테어(Fred Astaire)와 오드리 헵번(Audrey Hepburn)이 출연한 1957년 영화 ""Funny Face""에서 알려졌습니다. 그러나 이 노래의 작곡가는 조지 거슈윈(George Gershwin)입니다. 조지 거슈윈은 1898년 9월 26일에 태어났습니다."
Baseline,Is bilirubin independently associated with oxidized LDL levels in young obese patients?,False,0.303,,False,GROUNDED,"주어진 참고 문서에는 빌리루빈과 산화된 LDL(저밀도 지단백) 수치 간의 독립적인 연관성에 대한 정보가 포함되어 있지 않습니다. 따라서 이 질문에 대한 구체적인 답변을 제공할 수 없습니다.   일반적으로, 빌리루빈은 간에서 생성되는 물질로, 항산화 작용이 있는 것으로 알려져 있으며, 산화된 LDL은 심혈관 질환과 관련이 있습니다. 그러나 빌리루빈과 산화된 LDL 간의 관계에 대한 연구 결과는 문서에 명시되어 있지 않으므로, 관련된 연구를 찾아보거나 전문가와 상담하는 것이 좋습니다."
Baseline,What is the FY2020 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Give a response to the question by relying on the details shown in the P&L statement and the statement of cash flows.,False,0.421,,False,GROUNDED,"The provided reference documents do not contain specific financial information for PepsiCo, including its unadjusted EBITDA or capital expenditures (capex) for FY2020. However, I can guide you on how to calculate unadjusted EBITDA and capex if you have the relevant figures.  To calculate unadjusted EBITDA, you would use the following formula:  **Unadjusted EBITDA = Unadjusted Operating Income + Depreciation and Amortization**  1. **Unadjusted Operating Income**: This is typically found in the consolidated statements of operations (P&L statement). You would take the operating income figure for FY2020. 2. **Depreciation and Amortization**: This figure can be found in the consolidated statements of cash flows under cash flows from operating activities.  Once you have both figures, you can sum them to get the unadjusted EBITDA.  Next, to find the capex, you would look for the line item in the cash flows from investing activities that details the purchases of property and equipment. This amount represents the capital expenditures for the year.  Finally, to find the unadjusted EBITDA less capex, you would subtract the capex from the unadjusted EBITDA:  **Unadjusted EBITDA less Capex = Unadjusted EBITDA - Capex**  If you can provide the specific figures for PepsiCo's operating income, depreciation and amortization, and capital expenditures for FY2020, I can help you with the calculation."
Baseline,"Godspeed, was under Captain Bartholomew Gosnold, an English lawyer, explorer, and privateer who was instrumental in founding of which organization?",False,0.283,,False,HALLUCINATED,"Godspeed, under Captain Bartholomew Gosnold, was instrumental in the founding of the Virginia Company. The Virginia Company was a joint-stock company established in the early 17th century to establish settlements in the New World, particularly in Virginia. Gosnold played a significant role in the early exploration and colonization efforts, including the establishment of Jamestown, the first permanent English settlement in North America."
Baseline,"From the perspective of a public equities analyst, please answer the following question by primarily taking information that is provided in the P&L statement and the cash flow statement. What is Amcor's FY2020 retention ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places.",False,0.473,,True,GROUNDED,"주어진 참고 문서에는 Advanced Micro Devices, Inc.의 재무제표가 포함되어 있으며, Amcor에 대한 정보는 제공되지 않았습니다. 따라서 Amcor의 FY2020 배당금 및 순이익에 대한 정보를 찾을 수 없습니다.   그러나 일반적으로 retention ratio(유보율)는 다음과 같이 계산됩니다:  \[ \text{Retention Ratio} = 1 - \left( \frac{\text{Total Cash Dividends Paid}}{\text{Net Income Attributable to Shareholders}} \right) \]  이 공식을 사용하기 위해서는 Amcor의 FY2020에 대한 총 배당금과 순이익 데이터를 알아야 합니다. 해당 데이터가 제공되지 않으므로, Amcor의 FY2020 유보율을 계산할 수 없습니다.   Amcor에 대한 구체적인 재무 데이터를 제공해 주시면, 해당 정보를 바탕으로 유보율을 계산해 드릴 수 있습니다."
Baseline,Are both Roberto Devereux and King Priam operas?,True,0.744,,False,GROUNDED,"네, Roberto Devereux와 King Priam 모두 오페라입니다. Roberto Devereux는 가에타노 도니제티(Gaetano Donizetti)가 작곡한 ""tragedia lirica"" 또는 비극 오페라입니다. 반면, King Priam은 마이클 티펫(Michael Tippett)이 자신의 대본을 바탕으로 작곡한 오페라입니다. 두 작품 모두 오페라 장르에 속합니다."
Baseline,Who is married to Jim Tomlinson and released an album entitled Raconte-moi?,True,0.636,,False,GROUNDED,"Stacey Kent is married to Jim Tomlinson and released an album entitled ""Raconte-moi"" in 2010."
Baseline,Is kAP1 associated with peritoneal carcinomatosis in gastric cancer?,True,0.726,,False,GROUNDED,"네, KAP1은 위암에서 복막암종(peritoneal carcinomatosis)과 관련이 있습니다. 연구에 따르면 KAP1의 발현이 높은 환자들은 복막암종의 발생률이 더 높았으며(P < .05), KAP1의 높은 발현은 독립적인 예후 인자로 나타났습니다. 구체적으로, KAP1의 높은 발현은 복막암종에 대한 오즈비가 4.53으로 나타났고, 이는 KAP1의 발현이 복막암종의 발생에 중요한 역할을 할 수 있음을 시사합니다. 따라서 KAP1은 위암의 진행 및 예후와 밀접한 관련이 있습니다."
Baseline,"What 1977 film written and directed by Claude Chabrol is loosely based on a novel by the author of the poem ""Jabberwocky""?",True,0.631,,False,GROUNDED,"1977년 Claude Chabrol이 작성하고 감독한 영화는 ""Alice or the Last Escapade""입니다. 이 영화는 Lewis Carroll의 ""Alice's Adventures in Wonderland""에서 매우 느슨하게 영감을 받았으며, Carroll은 ""Jabberwocky""라는 시의 저자이기도 합니다. 주인공의 이름은 Alice Carroll로, Alice 캐릭터와 저자의 필명인 Carroll의 조합입니다."
Baseline,"Jon Ippolito is an artist, educator, new media scholar, and former curator at the Solomon R. Guggenheim Museum, the museum is often referred to as The Guggenheim, is an art museum located at 1071 Fifth Avenue on the corner of East 89th Street in the Upper East Side neighborhood of Manhattan, in which city?",False,0.303,,False,HALLUCINATED,"Jon Ippolito가 활동했던 Solomon R. Guggenheim Museum, 흔히 ""The Guggenheim""으로 알려진 이 미술관은 미국 뉴욕시의 맨해튼에 위치해 있습니다. 정확한 주소는 1071 Fifth Avenue이며, East 89th Street와의 모퉁이에 자리잡고 있습니다."
Baseline,What is the name of the 1972 film based on Nicholas Monsarrat's novel and stars Colin Blakely?,True,0.574,,False,GROUNDED,"The name of the 1972 film based on Nicholas Monsarrat's novel and starring Colin Blakely is ""Something to Hide,"" which was also reissued in the U.S. as ""Shattered."""
Baseline,"Along with the New York Islanders and the New York Rangers, which other NHL franchise is popular in the New York metropolitan area?",False,0.249,,False,HALLUCINATED,"뉴욕 대도시 지역에서 뉴욕 아이리시와 뉴욕 레인저스와 함께 인기 있는 NHL 프랜차이즈는 뉴저지 데블스(New Jersey Devils)입니다. 이 팀은 뉴저지주 뉴어크에 위치하고 있으며, 뉴욕 대도시 지역의 아이스 하키 팬들 사이에서 큰 인기를 끌고 있습니다."
Baseline,Which politician was once a Lieutenant Governor of Kentucky and a mayor in Louisville?,True,0.422,,False,GROUNDED,"그 정치인은 제리 아브람슨(Jerry Abramson)입니다. 그는 켄터키주에서 55대 부지사로 재직했으며, 루이빌의 시장으로도 활동했습니다."
Baseline,In what year was the camp opened that is between the city of Wodonga and the dam across the Murray River downstream of its junction with the Mitta River?,False,0.204,,False,GROUNDED,제공된 참고 문서에는 Wodonga와 Murray River의 댐 사이에 위치한 캠프의 개장 연도에 대한 정보가 포함되어 있지 않습니다. 따라서 해당 질문에 대한 정확한 답변을 제공할 수 없습니다. 추가적인 정보나 다른 질문이 있다면 도와드리겠습니다!
Baseline,Buddhist Yip Kei Nam Memorial College the school was founded with funds from a gambling tycoon whose wealth was estimated to be what?,True,0.666,,False,GROUNDED,"Buddhist Yip Kei Nam Memorial College was founded with funds from Yip Hon, a gambling tycoon in Hong Kong and Macau, whose wealth was estimated to be HK$ 100 million."
Baseline,"Gerald William Heaney, served for nearly forty years as a federal judge on the United States Court of Appeals for the Eighth Circuit, and was an organizer for several liberal Democratic politicians, including which former   American politician, poet, and a long-time Congressman from Minnesota?",True,0.472,,False,GROUNDED,"Gerald William Heaney는 여러 리버럴 민주당 정치인들을 위한 조직자로 활동했으며, 그 중에는 유진 맥카시(Eugene McCarthy)가 포함됩니다. 유진 맥카시는 미국의 정치인, 시인, 그리고 미네소타주에서 오랜 기간 동안 의원으로 활동한 인물입니다."
Baseline,What 2014 American 3D computer-animated musical fantasy adventure comedy film features a song recorded by British singer Leah McFall?,False,0.293,,False,HALLUCINATED,"2014년 미국 3D 컴퓨터 애니메이션 뮤지컬 판타지 어드벤처 코미디 영화는 ""Trolls""입니다. 이 영화에는 영국 가수 Leah McFall이 녹음한 곡이 포함되어 있습니다. ""Trolls""는 다양한 음악과 화려한 비주얼로 관객들에게 사랑받았습니다."
Baseline,"Who is older, Michael Howard or Clark Johnson?",False,0.252,,False,GROUNDED,제공된 참고 문서에는 Michael Howard와 Clark Johnson에 대한 정보가 포함되어 있지 않습니다. 따라서 이 두 사람의 나이를 비교할 수 없습니다. 추가적인 정보를 제공해 주시면 더 도움을 드릴 수 있습니다.
Baseline,Are Jan Bucquoy and Richard Linklater of the same nationality?,True,0.73,,False,GROUNDED,"아니요, Jan Bucquoy와 Richard Linklater는 서로 다른 국적을 가지고 있습니다. Jan Bucquoy는 벨기에에서 태어난 반정부주의자이자 작가-영화 제작자로, 벨기에 국적을 가지고 있습니다. 반면, Richard Linklater는 미국에서 태어난 영화 제작자, 각본가, 배우로, 미국 국적을 가지고 있습니다. 따라서 두 사람은 서로 다른 국적입니다."
Baseline,Does association of Dry Eye test With Extraocular Signs Among 3514 Participants in the Sjögren 's Syndrome International Registry?,False,0.273,,False,GROUNDED,"제공된 참고 문서에는 Sjögren's Syndrome International Registry와 관련된 Dry Eye 테스트 및 그 외부 징후에 대한 정보가 포함되어 있지 않습니다. 따라서 해당 질문에 대한 구체적인 답변을 제공할 수 없습니다.   Sjögren's 증후군은 주로 눈과 입의 건조증을 유발하는 자가면역 질환으로, Dry Eye는 이 질환의 주요 증상 중 하나입니다. 그러나 구체적인 연구 결과나 데이터에 대한 정보는 제공된 문서에서 찾을 수 없습니다.   더 많은 정보를 원하신다면 Sjögren's 증후군에 대한 연구 논문이나 관련 자료를 찾아보시는 것이 좋습니다."
Baseline,Which alcoholic brand named after the man who rebuilt its business did Justin Timberlake sing about in 2015?,True,0.642,,False,GROUNDED,"Justin Timberlake sang about the alcoholic brand ""Jim Beam"" in his song ""Drink You Away,"" which is featured on his fourth studio album, ""The 20/20 Experience – 2 of 2,"" released in 2013. The brand is named after James B. Beam, who rebuilt the business after Prohibition ended."
Baseline,How many months did the Eastern Legion train for?,True,0.262,,False,HALLUCINATED,"동부 군단(Eastern Legion)은 1916년 12월부터 1918년 5월까지 훈련을 받았으므로, 총 5개월 동안 훈련을 진행했습니다."
Baseline,The 1996 Air Force Falcons finished the season with a 5–3 record in in an American collegiate athletic conference formed on what date?,True,0.77,,False,GROUNDED,1996 Air Force Falcons는 Western Athletic Conference (WAC)에서 5–3의 기록으로 시즌을 마쳤습니다. 이 WAC는 1962년 7월 27일에 설립된 미국의 대학 운동 협회입니다.
Baseline,What goalkeeper participated in a football game for the premiere of A Trip to Jamaica?,True,0.594,,False,GROUNDED,"The goalkeeper who participated in the celebrity football game for the premiere of ""A Trip to Jamaica"" is Peter Rufai. He is a retired Nigerian footballer known for his role as a goalkeeper."
Baseline,How many cities weren't ranked the top destination city by international visitor arrivals in the Global Destination Cities Index 2018?,True,0.521,,False,GROUNDED,"Global Destination Cities Index 2018에서 국제 방문자 도착 수에 따라 가장 높은 순위를 차지한 도시는 방콕이었습니다. 방콕은 162개 도시 중 1위로 선정되었으며, 런던이 그 뒤를 이었습니다. 따라서, 방콕을 제외한 161개의 도시가 이 순위에서 1위를 차지하지 않았습니다."
Baseline,differences and similarities between red and white blood cells,False,0.118,,False,HALLUCINATED,"적혈구와 백혈구는 인체에서 중요한 역할을 하는 두 가지 유형의 혈액 세포입니다. 이들의 차이점과 유사점은 다음과 같습니다.  ### 차이점:  1. **기능**:    - **적혈구 (Red Blood Cells, RBC)**: 주로 산소를 폐에서 신체의 다른 부분으로 운반하고, 이산화탄소를 다시 폐로 되돌려보내는 역할을 합니다.    - **백혈구 (White Blood Cells, WBC)**: 면역 체계의 일환으로, 감염과 싸우고 외부의 침입자로부터 신체를 보호하는 역할을 합니다.  2. **구조**:    - **적혈구**: 핵이 없고, 원반 모양의 평평한 구조를 가지고 있습니다. 이 구조는 산소 운반을 효율적으로 할 수 있도록 돕습니다.    - **백혈구**: 핵이 있으며, 다양한 형태와 크기를 가지고 있습니다. 이들은 여러 종류가 있으며, 각각의 면역 기능을 수행합니다.  3. **생산 장소**:    - **적혈구**: 주로 골수에서 생성됩니다.    - **백혈구**: 골수에서 생성되지만, 림프절, 비장 등 다른 기관에서도 성숙하고 활성화됩니다.  4. **수명**:    - **적혈구**: 평균적으로 약 120일 정도 생존합니다.    - **백혈구**: 종류에 따라 수명이 다르지만, 몇 시간에서 몇 년까지 다양합니다.  ### 유사점:  1. **혈액의 구성 요소**: 두 세포 모두 혈액의 주요 구성 요소로, 혈액의 기능에 필수적입니다.  2. **골수에서의 생성**: 두 세포 모두 골수에서 생성되며, 혈액 내에서 중요한 역할을 수행합니다.  3. **세포의 형태**: 두 세포 모두 세포막으로 둘러싸여 있으며, 세포 내에서 다양한 생화학적 과정을 수행합니다.  4. **체내 이동**: 두 세포 모두 혈액을 통해 신체의 다양한 부분으로 이동하며, 필요한 기능을 수행합니다.  이와 같이 적혈구와 백혈구는 서로 다른 기능과 구조를 가지고 있지만, 모두 인체의 건강과 생명 유지에 필수적인 역할을 합니다."
Baseline,Kuk Harrell won his fourth Grammy for the song by Rihanna from what album?,True,0.624,,False,GROUNDED,"Kuk Harrell won his fourth Grammy for the vocal production of Rihanna's song ""Only Girl (In the World)"", which is from her fifth album, ""Loud"", released in 2010."
Baseline,Who directed the film for which Danny Michael was nominated for an Academy Award ? ,True,0.404,,False,GROUNDED,"Danny Michael was nominated for an Academy Award in the category Best Sound for the film ""Mississippi Burning,"" which was directed by Alan Parker."
Baseline,Dave Goelz is the voice of a character on a ride at Epcot theme park that also features what song?,False,0.365,,False,HALLUCINATED,"Dave Goelz is known for voicing the character Gonzo from The Muppets, and he is associated with the attraction ""Muppet*Vision 3D"" at Disney's Hollywood Studios. However, if you're referring to a ride at Epcot, it's important to note that ""Horizons,"" which featured a similar style of storytelling and was an opening day attraction at EPCOT Center in 1982, closed in 1996.   As for the song, if you are looking for a specific song associated with a ride at Epcot, it may not directly relate to Goelz's work. However, if you are thinking of songs featured in Epcot attractions, ""Drink You Away"" by Justin Timberlake is not directly linked to any specific ride but is a notable song from his album ""The 20/20 Experience – 2 of 2.""   If you have a specific ride in mind or need further clarification, please let me know!"
Baseline,"Which ""Outlaw"" star was nominated for an Emmy in 2013?",False,0.344,,False,HALLUCINATED,"""Outlaw""의 스타 중에서 2013년에 에미상 후보에 오른 배우는 엘리자베스 데비키(Elizabeth Debicki)입니다. 그녀는 BBC의 ""Great Expectations""에서 에스텔라 역할을 맡았고, 현재 넷플릭스 시리즈 ""The Crown""에서 마가렛 공주를 연기하고 있습니다. ""The Crown""에서의 연기로 그녀는 영국 아카데미 텔레비전상 최우수 조연 여우상 후보에 오르기도 했습니다."
Baseline,Who is the president of organization that Forrest Griffin vs. Stephan Bonnar was thought to be one of the greatest fights in history?,True,0.762,,False,GROUNDED,"Forrest Griffin vs. Stephan Bonnar는 UFC의 역사에서 가장 위대한 싸움 중 하나로 여겨지며, UFC의 대통령은 Dana White입니다."
Baseline,What was the name of the group of British colonies that the Tilden family originated from?,False,0.236,,False,GROUNDED,"죄송하지만, 제공된 참고 문서에는 Tilden 가족의 기원에 대한 정보가 포함되어 있지 않습니다. Tilden 가족이 어떤 특정한 영국 식민지에서 유래했는지에 대한 정보를 찾으려면 추가적인 자료가 필요할 것 같습니다. 다른 질문이 있으시면 도와드리겠습니다!"
Baseline,John Craig Freeman is a professor at a college founded by who ?,False,0.34,,False,GROUNDED,"John Craig Freeman은 특정 대학의 교수로 알려져 있지만, 제공된 참고 문서에는 그에 대한 정보가 포함되어 있지 않습니다. 그러나 Manhattan College는 로마 가톨릭에 의해 설립된 사립 대학입니다. 만약 John Craig Freeman이 Manhattan College의 교수라면, 그는 로마 가톨릭에 의해 설립된 대학에서 가르치고 있는 것입니다. 추가적인 정보가 필요하다면, 더 구체적인 질문을 해주시면 감사하겠습니다."
Baseline,"Latrobe Brewing Company in Latrobe, Pennsylvania, founded in 1839, was one of the largest breweries in the United States and the maker of ""Rolling Rock"" beer, which merged later in 2004, into which brewing company that resulted from the merger between Belgium-based company Interbrew and Brazilian brewer AmBev?",True,0.586,,False,HALLUCINATED,"Latrobe Brewing Company, known for producing ""Rolling Rock"" beer, merged into InBev in 2004. InBev was formed from the merger of the Belgium-based company Interbrew and the Brazilian brewer AmBev."
Baseline,Which player from the University of Texas 1994 Sun Bowl team was later signed to the Baltimore Ravens?,True,0.638,,False,GROUNDED,1994 Sun Bowl 팀에서 텍사스 대학교의 선수로 활약했던 프리스트 홀름스(Priest Holmes)가 나중에 1997년 볼티모어 레이븐스(Baltimore Ravens)에 무급 자유 계약 선수로 서명되었습니다.
Baseline,Ray Winstone appeared in what 2005 French-British computer-animated adventure fantasy that was based on a TV series?,False,0.312,,False,HALLUCINATED,"Ray Winstone appeared in the 2005 French-British computer-animated adventure fantasy film ""Arthur and the Invisibles."" This film is based on the children's book series ""Arthur"" by Luc Besson, which also inspired a TV series."
Baseline,"Which breed was developed first, the Doberman Pinscher or the Old Time Farm Shepherd?",False,0.172,,False,HALLUCINATED,"Doberman Pinscher는 1890년대에 독일에서 루돌프 도베르만에 의해 처음 개발되었습니다. 반면, Old Time Farm Shepherd는 20세기 초에 미국에서 농장 작업을 위해 개발된 품종입니다. 따라서 Doberman Pinscher가 Old Time Farm Shepherd보다 먼저 개발된 품종입니다."
Baseline,What former Governor Of New York helped found the American Bison Society?,True,0.633,,False,GROUNDED,The former Governor of New York who helped found the American Bison Society is Theodore Roosevelt. He was a pioneering conservationist and played a significant role in raising public awareness about the bison and efforts to save the species from extinction.
Baseline,"Which is farther east, Minneapolis–Saint Paul International Airport or Cheyenne Regional Airport?",True,0.702,,False,GROUNDED,"Minneapolis–Saint Paul International Airport (MSP) is farther east than Cheyenne Regional Airport (CYS). Minneapolis is located in Minnesota, which is situated to the east of Cheyenne, Wyoming, where Cheyenne Regional Airport is located. Therefore, MSP is the easternmost of the two airports."
Baseline,what causes necrotizing fasciitis,True,0.71,,False,GROUNDED,"Necrotizing fasciitis is primarily caused by bacteria, with group A beta-hemolytic streptococci (Streptococcus pyogenes) being the most common culprit. This type of bacteria is also responsible for other infections such as strep throat and impetigo. In addition to group A streptococcus, other bacteria like staphylococcus and various pathogens can also contribute to the development of necrotizing fasciitis.  The infection typically occurs when these bacteria invade the superficial fascia, a layer of connective tissue located just beneath the skin. Many cases of necrotizing fasciitis are associated with a history of prior trauma, such as cuts, scrapes, insect bites, burns, or needle puncture wounds. Even surgical incision sites can serve as potential sources of infection. Although the initial injuries may seem minor, they can lead to this serious and rapidly progressing infection, which can destroy skin, fat, and muscle tissue."
Baseline,What is the name of one of the native species of buckthorn that is also a powerful plant-based laxative?,True,0.635,,False,GROUNDED,"The name of the native species of buckthorn that is also a powerful plant-based laxative is Rhamnus purshiana, commonly known as cascara sagrada."
Baseline,Who is the current head coach of the basketball team for which Michael Beasley played for one year before declaring for the NBA draft in 2008?,False,0.267,,False,HALLUCINATED,"Michael Beasley played for the Kansas State Wildcats basketball team for one year during the 2007-2008 season before declaring for the NBA draft. As of my last knowledge update in October 2023, the head coach of the Kansas State Wildcats basketball team is Jerome Tang, who was hired in March 2022. Please verify this information, as coaching staff can change frequently."
Baseline,lyrics he was a friend of mine,True,0.672,,False,GROUNDED,"""He Was a Friend of Mine""의 가사는 친구의 죽음을 애도하는 내용을 담고 있습니다. 이 노래는 친구가 아무것도 없이 세상을 떠났다는 슬픈 이야기를 전하며, 그 친구가 결코 잘못한 일이 없고, 그를 기억할 때마다 슬픔이 가득하다는 감정을 표현합니다. 가사 중 일부는 다음과 같습니다:  ""He was a friend of mine, he was a friend of mine. He died without a penny, he didn't have a dime...""  이 노래는 친구에 대한 그리움과 애정, 그리고 상실의 아픔을 깊이 있게 전달하고 있습니다. 노래의 작곡가는 밥 딜런(Bob Dylan)입니다."
Baseline,Ishmael Muhammad is the assistant minister to which leader formerly known as Louis X?,True,0.505,,False,GROUNDED,"Ishmael Muhammad은 Louis X로 알려졌던 Louis Farrakhan의 국가 보조 장관입니다. Louis Farrakhan은 미국의 종교 지도자이자 아프리카계 미국인 활동가, 사회 논평가로 알려져 있습니다."
Baseline,"Who did Eric Hilton found ESL Music, the independent record label in Washington DC, with?",False,0.255,,False,HALLUCINATED,"Eric Hilton co-founded ESL Music, the independent record label in Washington DC, with Rob Garza."
Baseline,In what television show did the Life Under Water actress win two Emmys for in 2001 and 2004?,False,0.315,,False,GROUNDED,"주어진 참고 문서에는 ""Life Under Water""라는 제목의 작품이나 해당 작품에서 에미상을 수상한 여배우에 대한 정보가 포함되어 있지 않습니다. 따라서 해당 질문에 대한 정확한 답변을 제공할 수 없습니다. 추가적인 정보나 다른 질문이 있다면 도와드리겠습니다!"
Baseline,"On which semi-autobiographical film is based the 2009 romantic musical drama, which features an ensemble cast including the English actress who made her debut with the Old Vic Company?",False,0.435,,False,HALLUCINATED,"2009년 로맨틱 뮤지컬 드라마는 ""Mamma Mia!""로, 이는 ABBA의 음악을 기반으로 한 반자전적 영화입니다. 이 영화에는 영국 여배우가 출연하는데, 그녀는 올드 빅 컴퍼니에서 데뷔한 것으로 알려져 있습니다. 이 여배우는 ""The Crown""에서 마가렛 공주를 연기한 엘리자베스 데비키가 아닐까 추측할 수 있습니다. ""Mamma Mia!""는 2008년에 개봉하였으며, 그 후속편인 ""Mamma Mia! Here We Go Again""은 2018년에 개봉했습니다."
Baseline,what opening day attraction at EPCOT Center in 1982 was closed down for refurbishment in 1995,True,0.64,,False,GROUNDED,1982년 EPCOT Center의 개장일 어트랙션 중 하나인 Horizons가 1995년에 리노베이션을 위해 폐쇄되었습니다. 이 어트랙션은 1996년에 Test Track이라는 새로운 스릴 라이드를 위해 완전히 문을 닫았습니다.
